,timeDerrotado
541,"[32, 30, 106, 93, 57]"
542,"[9, 11, 94, 103, 98]"
543,"[55, 73, 100, 101, 48]"
544,"[84, 9, 44, 21, 95]"
545,"[44, 57, 110, 107, 25]"
546,"[88, 85, 112, 106, 93]"
547,"[1, 39, 50, 63, 102]"
548,"[2, 26, 27, 109, 35]"
549,"[25, 46, 100, 69, 73]"
550,"[26, 22, 74, 28, 71]"
551,"[42, 20, 94, 25, 13]"
552,"[52, 83, 12, 112, 55]"
553,"[68, 73, 39, 107, 75]"
554,"[34, 36, 38, 21, 5]"
555,"[59, 73, 50, 70, 51]"
556,"[82, 7, 8, 112, 39]"
557,"[45, 99, 26, 78, 19]"
558,"[27, 98, 46, 89, 5]"
559,"[21, 5, 106, 16, 104]"
560,"[7, 14, 54, 106, 84]"
561,"[5, 86, 94, 106, 110]"
562,"[63, 70, 68, 7, 46]"
563,"[104, 27, 106, 8, 96]"
564,"[3, 73, 41, 69, 31]"
565,"[50, 21, 106, 47, 84]"
566,"[25, 93, 71, 86, 74]"
567,"[26, 16, 11, 97, 104]"
568,"[47, 100, 50, 32, 59]"
569,"[39, 28, 36, 106, 25]"
570,"[99, 7, 21, 22, 41]"
571,"[23, 21, 36, 106, 104]"
572,"[68, 29, 63, 112, 21]"
573,"[50, 2, 35, 51, 14]"
574,"[97, 31, 2, 8, 5]"
575,"[21, 2, 74, 77, 39]"
576,"[101, 42, 71, 83, 73]"
577,"[7, 106, 67, 75, 112]"
578,"[74, 73, 57, 6, 30]"
579,"[2, 5, 77, 14, 29]"
580,"[21, 75, 2, 60, 8]"
581,"[104, 21, 20, 57, 39]"
582,"[9, 106, 107, 45, 102]"
583,"[7, 67, 74, 11, 31]"
584,"[57, 59, 19, 91, 99]"
585,"[6, 46, 110, 69, 9]"
586,"[55, 19, 7, 59, 112]"
587,"[74, 28, 4, 36, 69]"
588,"[9, 23, 59, 39, 50]"
589,"[6, 94, 86, 4, 1]"
590,"[61, 12, 21, 57, 79]"
591,"[71, 74, 84, 28, 106]"
592,"[71, 9, 44, 106, 86]"
593,"[93, 17, 23, 30, 62]"
594,"[68, 11, 1, 31, 28]"
595,"[112, 50, 97, 42, 1]"
596,"[39, 16, 22, 21, 8]"
597,"[75, 100, 6, 30, 21]"
598,"[36, 42, 11, 99, 84]"
599,"[30, 73, 100, 28, 21]"
600,"[45, 85, 99, 73, 70]"
601,"[1, 39, 87, 107, 77]"
602,"[62, 44, 5, 85, 47]"
603,"[64, 7, 97, 46, 106]"
604,"[28, 93, 47, 81, 59]"
605,"[102, 70, 35, 7, 13]"
606,"[34, 53, 40, 88, 9]"
607,"[79, 25, 62, 44, 2]"
608,"[12, 73, 83, 30, 28]"
609,"[42, 70, 34, 67, 50]"
610,"[100, 74, 61, 69, 2]"
611,"[51, 21, 30, 12, 10]"
612,"[105, 42, 26, 25, 20]"
613,"[74, 55, 7, 106, 30]"
614,"[21, 112, 2, 105, 97]"
615,"[12, 34, 75, 72, 57]"
