"file:/C:/Users/flavi/Google%20Drive/Doutorado/Ciencia%20de%20Redes/dotaComplementar.mat_2","interaction","name","selected","shared interaction","shared name"
"1.0","interacts with","Node 86 (interacts with) Node 87","false","interacts with","Node 86 (interacts with) Node 87"
"1.0","interacts with","Node 86 (interacts with) Node 107","false","interacts with","Node 86 (interacts with) Node 107"
"1.0","interacts with","Node 87 (interacts with) Node 112","false","interacts with","Node 87 (interacts with) Node 112"
"1.0","interacts with","Node 87 (interacts with) Node 88","false","interacts with","Node 87 (interacts with) Node 88"
"1.0","interacts with","Node 87 (interacts with) Node 107","false","interacts with","Node 87 (interacts with) Node 107"
"1.0","interacts with","Node 88 (interacts with) Node 112","false","interacts with","Node 88 (interacts with) Node 112"
"1.0","interacts with","Node 88 (interacts with) Node 89","false","interacts with","Node 88 (interacts with) Node 89"
"1.0","interacts with","Node 88 (interacts with) Node 107","false","interacts with","Node 88 (interacts with) Node 107"
"1.0","interacts with","Node 89 (interacts with) Node 90","false","interacts with","Node 89 (interacts with) Node 90"
"1.0","interacts with","Node 89 (interacts with) Node 107","false","interacts with","Node 89 (interacts with) Node 107"
"1.0","interacts with","Node 90 (interacts with) Node 112","false","interacts with","Node 90 (interacts with) Node 112"
"1.0","interacts with","Node 90 (interacts with) Node 91","false","interacts with","Node 90 (interacts with) Node 91"
"1.0","interacts with","Node 90 (interacts with) Node 107","false","interacts with","Node 90 (interacts with) Node 107"
"1.0","interacts with","Node 91 (interacts with) Node 112","false","interacts with","Node 91 (interacts with) Node 112"
"1.0","interacts with","Node 91 (interacts with) Node 107","false","interacts with","Node 91 (interacts with) Node 107"
"1.0","interacts with","Node 91 (interacts with) Node 92","false","interacts with","Node 91 (interacts with) Node 92"
"1.0","interacts with","Node 92 (interacts with) Node 112","false","interacts with","Node 92 (interacts with) Node 112"
"1.0","interacts with","Node 92 (interacts with) Node 107","false","interacts with","Node 92 (interacts with) Node 107"
"1.0","interacts with","Node 92 (interacts with) Node 93","false","interacts with","Node 92 (interacts with) Node 93"
"1.0","interacts with","Node 93 (interacts with) Node 112","false","interacts with","Node 93 (interacts with) Node 112"
"1.0","interacts with","Node 93 (interacts with) Node 107","false","interacts with","Node 93 (interacts with) Node 107"
"1.0","interacts with","Node 93 (interacts with) Node 94","false","interacts with","Node 93 (interacts with) Node 94"
"1.0","interacts with","Node 94 (interacts with) Node 112","false","interacts with","Node 94 (interacts with) Node 112"
"1.0","interacts with","Node 94 (interacts with) Node 107","false","interacts with","Node 94 (interacts with) Node 107"
"1.0","interacts with","Node 94 (interacts with) Node 95","false","interacts with","Node 94 (interacts with) Node 95"
"1.0","interacts with","Node 95 (interacts with) Node 96","false","interacts with","Node 95 (interacts with) Node 96"
"1.0","interacts with","Node 95 (interacts with) Node 112","false","interacts with","Node 95 (interacts with) Node 112"
"1.0","interacts with","Node 95 (interacts with) Node 107","false","interacts with","Node 95 (interacts with) Node 107"
"1.0","interacts with","Node 96 (interacts with) Node 112","false","interacts with","Node 96 (interacts with) Node 112"
"1.0","interacts with","Node 96 (interacts with) Node 97","false","interacts with","Node 96 (interacts with) Node 97"
"1.0","interacts with","Node 96 (interacts with) Node 107","false","interacts with","Node 96 (interacts with) Node 107"
"1.0","interacts with","Node 97 (interacts with) Node 98","false","interacts with","Node 97 (interacts with) Node 98"
"1.0","interacts with","Node 97 (interacts with) Node 107","false","interacts with","Node 97 (interacts with) Node 107"
"1.0","interacts with","Node 98 (interacts with) Node 99","false","interacts with","Node 98 (interacts with) Node 99"
"1.0","interacts with","Node 98 (interacts with) Node 107","false","interacts with","Node 98 (interacts with) Node 107"
"1.0","interacts with","Node 99 (interacts with) Node 112","false","interacts with","Node 99 (interacts with) Node 112"
"1.0","interacts with","Node 99 (interacts with) Node 100","false","interacts with","Node 99 (interacts with) Node 100"
"1.0","interacts with","Node 99 (interacts with) Node 107","false","interacts with","Node 99 (interacts with) Node 107"
"1.0","interacts with","Node 100 (interacts with) Node 112","false","interacts with","Node 100 (interacts with) Node 112"
"1.0","interacts with","Node 100 (interacts with) Node 101","false","interacts with","Node 100 (interacts with) Node 101"
